Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"Before we begin, please confirm the following",,What denomination / network / movement is your church plant affiliated with?,,When did the church plant start?,,What average attendance (or sized team) did you launch with?,,What is your current average attendance?,,Which of the following best describes how your church plant launched?,Which of these best describes the geographical area you planted into? Please tick all that apply,,,,,,,,,,,What were the traditions of the planting team? Tick all that apply,,,,,,,,,Where does your church plant meet?,,% FTE (staff member 1),% FTE (staff member 2),% FTE (staff member 3),% FTE (staff member 4),"If your church plant/worshipping community employs more than 4 members of staff, please fill in their full-time-equivalence below:",,,,Which group of people is your church plant particularly aimed at/intended for? Please tick all that apply.,,,,,,,"To the best of your knowledge, what percentage of your attenders come from non-churched backgrounds?","To the best of your knowledge, what percentage of your attenders come from de-churched backgrounds?",How many first-time faith commitments would you estimate your church has seen since it first started?,"Compared to your original aspirations, how successful/unsuccessful has the church plant been at reaching those who are non-churched or de-churched?",In what ways has the church plant been able to engage with those who do not normally go to church?,"On a scale from 1 to 100, how different are your church's regular services from those of your sending church?",To what extent has the church plant had to develop new practices in order to reach and disciple people who do not already go to church?,"Based on your experiences, what would you say are the key factors that help determine whether a church plant thrives and flourishes?",,,"Based on your experiences, what would you say are the key factors that inhibit a church plant’s growth and development?",,
,,,,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Response,Other (please specify),Year,Month (if known),Adults:,Children:,Adults:,Children:,Response,Expanded Village,Suburb,Urban,Rural,Town,Urban Priority Area,Local Authority Estate,City Centre,New Town,Specific geographical area within a larger town or city,Other (please specify),Catholic,Charismatic,Conservative,Episcopalian,Evangelical,Mainstream,Progressive,Reformed,Other (please specify),Response,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Staff member 5 (FTE):,Staff member 6 (FTE):,Staff member 7 (FTE):,Staff member 8 (FTE):,People living in a particular geographical area,"A particular linguistic, national or ethnic group (or groups)","A particular cultural group or groups (apart from linguistic, national or ethnic groups)",A particular religious group or groups,People who find it difficult to access other churches,We do not have a specific missional focus,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response,Open-Ended Response,Response,Key factor 1:,Key factor 2:,Key factor 3:,Key factor 1:,Key factor 2:,Key factor 3:
118659535501,457227318,07/31/2024 10:41:44 AM,07/31/2024 10:42:32 AM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118659511183,457227318,07/31/2024 09:33:27 AM,07/31/2024 09:51:13 AM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118657790129,457227318,07/29/2024 10:30:53 AM,07/29/2024 10:59:33 AM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Assemblies of God,,2023,January,15,5,60,8,,,,,,Town,,,,,,,,Charismatic,,,Evangelical,,,,,In a rented space that isn't a church building,,10,5,,,,,,,People living in a particular geographical area,,"A particular cultural group or groups (apart from linguistic, national or ethnic groups)",,People who find it difficult to access other churches,,,15.0,20.0,14.0,Mildly successful,By partnering with addiction recovery charity we have engaged with addicts and recovering addicts who would not normally associate with church.,65,Somewhat,Strong links to the community,Missional focus,Welcoming culture,Lack of finance,Lack of volunteers,Suspicion from other local churches
118656990849,457227318,07/27/2024 12:46:06 PM,07/27/2024 12:52:21 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Assemblies of God,,2023,January ,7,0,20,0,An entirely new church in a new location (physically separate from sending church),,,,,Town,,,,,,,,Charismatic,,,,,,,,In a rented space that isn't a church building,,,,,,,,,,People living in a particular geographical area,,,,,,,5.0,70.0,5.0,Moderately unsuccessful,,52,A little,Growth ,Salvations,Adding of a leader,Lack of vision ,Finances ,Lack of team 
118655577021,457227318,07/25/2024 03:18:07 PM,07/25/2024 03:29:30 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Vineyard,,2019,February,2,1,23,3,An entirely new church in a new location (physically separate from sending church),,,,,Town,,,,,,,,Charismatic,,,,,,,,Other (please specify),Former Church building,5,,,,,,,,People living in a particular geographical area,,,,People who find it difficult to access other churches,,,13.0,87.0,15.0,Mildly successful,We are active in the community offering family events,80,Quite a lot,Sense of community and belonging,Openness to showing the realities of life struggles,Allowing questions,Performance orientated services,Lack of community engagement,Exclusivity
118655523503,457227318,07/25/2024 02:19:07 PM,07/25/2024 02:29:12 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Other (please specify),FIEC,2021,November,13,10,40,20,An entirely new church in a new location (physically separate from sending church),Expanded Village,,,Rural,,,,,,,,,Charismatic,Conservative,,Evangelical,Mainstream,,Reformed,,In a rented space that isn't a church building,,100,,,,,,,,People living in a particular geographical area,,,,,,,15.0,10.0,3.0,Mildly successful,Relationships of members is main way  Toddler group  Special services/events,35,Quite a lot,Faithfulness to God's word,Unity of the team,Being flexible to context where God's word permits it,Emotional/spiritual unhealth in team and relationships,Unfaithfulness to scripture,Rigidity on form of service
118655478977,457227318,07/25/2024 01:18:37 PM,07/25/2024 01:42:50 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Other (please specify),FIEC,2018,April,44,20,128,60,An entirely new church in a new location (physically separate from sending church),,,,,,,,,,,Industrial Estate on Western city perimeter,,,Conservative,,Evangelical,,,,,In a rented space that isn't a church building,,80,100,60,50,50,40,,,,,,,,,our relational networks (people relationally connected to the team via family/work/neighbours/interests),5.0,10.0,20.0,Moderately unsuccessful,"* every-member mission ethos towards those we are relationally connected with  * ""bridge programmes"" running activities which regularly connect Christians and non-Christians (community choir, parents+toddlers, concert venue, co-working space)  * invitational events (Christmas, Easter)  * short courses (Uncover, Christianity Explored, 3-2-1, etc)",60,A great deal,missional intentionality,sustainable pace + scale,welcoming experience and culture,maintenance (of church gatherings) swamping mission,"lack of missional design (believing ""if we build it, they will come"")",administrative capacity to handle growth
118655461074,457227318,07/25/2024 12:47:07 PM,07/25/2024 12:49:38 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118655427536,457227318,07/25/2024 11:42:09 AM,07/25/2024 12:06:17 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Vineyard,,2020,March,4,3,50,12,An entirely new church in a new location (physically separate from sending church),,,,,Town,,,,New Town,,,,Charismatic,,,Evangelical,,,,,"In another church's building, which we rent",,20,20,,,,,,,People living in a particular geographical area,,,,,,,5.0,25.0,3.0,Mildly successful,"Through invitation for events such as the Alpha course, Sunday services, Social media adverts and regular updates, friendship circles and other social events. ",20,Somewhat,Ability to gather people and build community,Holy Spirits leading,"Keeping in communication with other churches, learning from others who have gone before and asking lots of questions",Isolation,Unwilling to try new things and fear of failure,Leaning on your own strength 
118655371239,457227318,07/25/2024 09:46:01 AM,07/25/2024 09:57:03 AM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Vineyard,,2020,March ,4,3,50,12,An entirely new church in a new location (physically separate from sending church),,,,,Town,,,,,,,,,,,Evangelical,,,,,"In another church's building, which we rent",,50,50,,,,,,,People living in a particular geographical area,,,,,,,5.0,25.0,3.0,Mildly successful,"Alph courses, invitations to events, friendship circles.",,,,,,,,
118655133788,457227318,07/24/2024 11:41:44 PM,07/24/2024 11:45:37 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Vineyard,,2024,August,15,9,15,9,An entirely new church in a new location (physically separate from sending church),,,Urban,,,,,,,,,,Charismatic,,,Evangelical,Mainstream,,,,Other (please specify),We’ve not yet moved and started meeting but will be in a home and quickly into a building ,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
118655047595,457227318,07/24/2024 09:23:40 PM,07/24/2024 09:45:11 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Vineyard,,2022,03,2,3,16,9,An entirely new church in a new location (physically separate from sending church),,,Urban,,,,,,,,,,Charismatic,,,Evangelical,Mainstream,,,,In a rented space that isn't a church building,,20,,,,,,,,People living in a particular geographical area,,,,,,,2.0,30.0,1.0,Moderately successful,Community outreach - Halloween event - contact woth >100 families  Easter event - contact with >300 families  Soup kitchen every 5 weeks,20,A little,Prayer and prayer! ,Being relational ,Clear vision,Leadership that is not clear/strong ,,
118654785654,457227318,07/24/2024 04:15:05 PM,07/24/2024 04:23:54 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,Scottish Network Churches,,2022,Dec,10,5,25,15,Establishment of a new worshipping community linked to an existing church,,,,,Town,,,,,,,,Charismatic,,,Evangelical,,Progressive,,,"In another church's building, which we use free of charge (this includes the sending church's building)",,10,,,,,,,,,,"A particular cultural group or groups (apart from linguistic, national or ethnic groups)",,People who find it difficult to access other churches,,,10.0,30.0,5.0,Moderately successful,"We run our service on a weekday evening, which means those who take children to Sunday sports clubs can attend. It is an intergenerational church which starts with a meal this mean it serves those who find Sunday services challenging. The meal has been particularly helpful in engaging those who don't normally go to church.",80,Quite a lot,Clear vision to reach those outside of church,Curiousness ,Adaptability ,Pleasing those who already have faith,Tiredness,"Resources - time, skills and money"
118654774427,457227318,07/24/2024 02:13:05 PM,07/24/2024 04:02:30 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118654684815,457227318,07/24/2024 02:13:05 PM,07/24/2024 02:13:20 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118654669748,457227318,07/24/2024 01:54:11 PM,07/24/2024 01:55:37 PM,,,,,,I have read the participant information sheet and know who to ask if I have any questions,I understand that my participation in this research is voluntary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
